id,type,amount,category,description,timestamp
TXN0001,DEPOSIT,1013.81,Refund,Refund from online order,1751488740000
TXN0002,EXPENSE,67.04,Rent,Hostel fee,1751517480000
TXN0003,DEPOSIT,5019.68,Interest,Savings account interest,1751544060000
TXN0004,EXPENSE,684.83,Healthcare,Doctor visit,1751707320000
TXN0005,EXPENSE,1053.25,Food,Groceries,1751779260000
TXN0006,EXPENSE,171.27,Utilities,Mobile recharge,1751866440000
TXN0007,DEPOSIT,8004.3,Refund,Cashback received,1751963400000
TXN0008,EXPENSE,837.02,Healthcare,Doctor visit,1752079860000
TXN0009,EXPENSE,1062.77,Shopping,Clothes shopping,1752237900000
TXN0010,EXPENSE,1285.87,Entertainment,Movie ticket,1752252720000
TXN0011,EXPENSE,1254.48,Education,Online course subscription,1752281100000
TXN0012,EXPENSE,1058.69,Utilities,Mobile recharge,1752324660000
TXN0013,EXPENSE,261.84,Travel,Train ticket,1752496200000
TXN0014,EXPENSE,1267.42,Utilities,Mobile recharge,1752593040000
TXN0015,DEPOSIT,2026.51,Salary,Part-time job payment,1752610380000
TXN0016,EXPENSE,990.05,Shopping,Clothes shopping,1752665820000
TXN0017,EXPENSE,412.02,Education,Course fee,1752766620000
TXN0018,EXPENSE,1348.78,Entertainment,Concert ticket,1752830820000
TXN0019,EXPENSE,154.55,Travel,Fuel,1752932520000
TXN0020,EXPENSE,1192.28,Travel,Train ticket,1752947640000
TXN0021,EXPENSE,901.91,Healthcare,Medicines,1753054980000
TXN0022,EXPENSE,1028.93,Food,Lunch at canteen,1753173600000
TXN0023,EXPENSE,454.38,Shopping,New shoes,1753309140000
TXN0024,EXPENSE,771.37,Entertainment,Netflix subscription,1753351560000
TXN0025,EXPENSE,246.2,Entertainment,Netflix subscription,1753381260000
TXN0026,EXPENSE,499.75,Food,Snacks,1753424520000
TXN0027,DEPOSIT,1005.73,Refund,Cashback received,1753432860000
TXN0028,EXPENSE,1227.71,Rent,Hostel fee,1753575840000
TXN0029,EXPENSE,1421.34,Travel,Fuel,1753710300000
TXN0030,EXPENSE,1394.79,Healthcare,Doctor visit,1753754460000
TXN0031,EXPENSE,981.82,Healthcare,Health checkup,1753807440000
TXN0032,EXPENSE,386.9,Education,Course fee,1753918680000
TXN0033,EXPENSE,30.64,Utilities,Internet bill,1753938000000
TXN0034,DEPOSIT,8032.71,Salary,Monthly salary credited,1754096640000
TXN0035,DEPOSIT,5013.1,Gift,Birthday gift money,1754226540000
TXN0036,EXPENSE,1215.1,Utilities,Water bill,1754370420000
TXN0037,DEPOSIT,2040.7,Gift,Festival gift,1754420760000
TXN0038,EXPENSE,615.88,Rent,Monthly rent payment,1754437620000
TXN0039,EXPENSE,303.55,Rent,Monthly rent payment,1754524560000
TXN0040,EXPENSE,432.25,Healthcare,Doctor visit,1754659920000
TXN0041,EXPENSE,1215.87,Rent,Hostel fee,1754724900000
TXN0042,DEPOSIT,591.71,Interest,Savings account interest,1754863740000
TXN0043,DEPOSIT,1085.6,Gift,Festival gift,1754925420000
TXN0044,DEPOSIT,1591.73,Salary,Part-time job payment,1754943420000
TXN0045,EXPENSE,301.05,Education,Course fee,1755058800000
TXN0046,EXPENSE,104.6,Food,Dinner with friends,1755115860000
TXN0047,EXPENSE,1441.95,Travel,Bus fare,1755262980000
TXN0048,EXPENSE,1019.31,Rent,Monthly rent payment,1755286260000
TXN0049,EXPENSE,936.68,Utilities,Electricity bill,1755347640000
TXN0050,EXPENSE,322.3,Shopping,Book purchase,1755454260000
